date,station,effort,no.cameras,sides.used,model,obs
04/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
05/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
06/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
07/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
08/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
09/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
10/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
11/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
12/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
13/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
14/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
15/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
16/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
17/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
18/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
19/10/2013,AFV01,1,1,NA,Bushnell,Dates of pilot testing of camera traps; not used in the study
20/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
21/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
22/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
23/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
24/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
25/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
26/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
27/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
28/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
29/10/2013,AFV01,NA,NA,NA,Recheck,Dates of pilot testing of camera traps; not used in the study
