data,estacao,esforco,n.de.cameras,lados,modelo,obs
13/03/2015,AFV01,1,1,E,Bushnell,_
14/03/2015,AFV01,1,1,E,Bushnell,_
15/03/2015,AFV01,1,1,E,Bushnell,_
16/03/2015,AFV01,1,1,E,Bushnell,_
17/03/2015,AFV01,1,1,E,Bushnell,_
18/03/2015,AFV01,1,1,E,Bushnell,_
19/03/2015,AFV01,1,1,E,Bushnell,_
20/03/2015,AFV01,1,2,ED,Bushnell,_
21/03/2015,AFV01,1,2,ED,Bushnell,_
22/03/2015,AFV01,1,2,ED,Bushnell,_
23/03/2015,AFV01,1,2,ED,Bushnell,_
24/03/2015,AFV01,1,2,ED,Bushnell,_
25/03/2015,AFV01,1,2,ED,Bushnell,_
26/03/2015,AFV01,1,2,ED,Bushnell,_
27/03/2015,AFV01,1,2,ED,Bushnell,_
28/03/2015,AFV01,1,2,ED,Bushnell,_
29/03/2015,AFV01,1,2,ED,Bushnell,_
30/03/2015,AFV01,1,2,ED,Bushnell,_
31/03/2015,AFV01,1,2,ED,Bushnell,_
01/04/2015,AFV01,1,2,ED,Bushnell,_
02/04/2015,AFV01,1,2,ED,Bushnell,_
03/04/2015,AFV01,1,2,ED,Bushnell,_
04/04/2015,AFV01,1,2,ED,Bushnell,_
05/04/2015,AFV01,1,2,ED,Bushnell,_
06/04/2015,AFV01,1,2,ED,Bushnell,_
07/04/2015,AFV01,1,2,ED,Bushnell,_
08/04/2015,AFV01,1,2,ED,Bushnell,_
09/04/2015,AFV01,1,2,ED,Bushnell,_
10/04/2015,AFV01,1,2,ED,Bushnell,_
11/04/2015,AFV01,1,2,ED,Bushnell,_
12/04/2015,AFV01,1,2,ED,Bushnell,_
13/04/2015,AFV01,1,2,ED,Bushnell,_
13/03/2015,AFV02,1,2,ED,Bushnell,_
14/03/2015,AFV02,1,2,ED,Bushnell,_
15/03/2015,AFV02,1,2,ED,Bushnell,_
16/03/2015,AFV02,1,2,ED,Bushnell,_
17/03/2015,AFV02,1,2,ED,Bushnell,_
18/03/2015,AFV02,1,2,ED,Bushnell,_
19/03/2015,AFV02,1,2,ED,Bushnell,_
20/03/2015,AFV02,1,2,ED,Bushnell,_
21/03/2015,AFV02,1,2,ED,Bushnell,_
22/03/2015,AFV02,1,2,ED,Bushnell,_
23/03/2015,AFV02,1,2,ED,Bushnell,_
24/03/2015,AFV02,1,2,ED,Bushnell,_
25/03/2015,AFV02,1,2,ED,Bushnell,_
26/03/2015,AFV02,1,2,ED,Bushnell,_
27/03/2015,AFV02,1,2,ED,Bushnell,_
28/03/2015,AFV02,1,2,ED,Bushnell,_
29/03/2015,AFV02,1,2,ED,Bushnell,_
30/03/2015,AFV02,1,2,ED,Bushnell,_
31/03/2015,AFV02,1,2,ED,Bushnell,_
01/04/2015,AFV02,1,2,ED,Bushnell,_
02/04/2015,AFV02,1,2,ED,Bushnell,_
03/04/2015,AFV02,1,2,ED,Bushnell,_
04/04/2015,AFV02,1,2,ED,Bushnell,_
05/04/2015,AFV02,1,2,ED,Bushnell,_
06/04/2015,AFV02,1,2,ED,Bushnell,_
07/04/2015,AFV02,1,2,ED,Bushnell,_
08/04/2015,AFV02,1,2,ED,Bushnell,_
09/04/2015,AFV02,1,2,ED,Bushnell,_
10/04/2015,AFV02,1,2,ED,Bushnell,_
11/04/2015,AFV02,1,2,ED,Bushnell,_
12/04/2015,AFV02,1,2,ED,Bushnell,_
13/04/2015,AFV02,1,2,ED,Bushnell,_
13/03/2015,AFV03,1,2,ED,Bushnell,_
14/03/2015,AFV03,1,2,ED,Bushnell,_
15/03/2015,AFV03,1,2,ED,Bushnell,_
16/03/2015,AFV03,1,2,ED,Bushnell,_
17/03/2015,AFV03,1,2,ED,Bushnell,_
18/03/2015,AFV03,1,2,ED,Bushnell,_
19/03/2015,AFV03,1,2,ED,Bushnell,_
20/03/2015,AFV03,1,2,ED,Bushnell,_
21/03/2015,AFV03,1,2,ED,Bushnell,_
22/03/2015,AFV03,1,2,ED,Bushnell,_
23/03/2015,AFV03,1,2,ED,Bushnell,_
24/03/2015,AFV03,1,2,ED,Bushnell,_
25/03/2015,AFV03,1,2,ED,Bushnell,_
26/03/2015,AFV03,1,2,ED,Bushnell,_
27/03/2015,AFV03,1,2,ED,Bushnell,_
28/03/2015,AFV03,1,2,ED,Bushnell,_
29/03/2015,AFV03,1,2,ED,Bushnell,_
30/03/2015,AFV03,1,2,ED,Bushnell,_
31/03/2015,AFV03,1,2,ED,Bushnell,_
01/04/2015,AFV03,1,2,ED,Bushnell,_
02/04/2015,AFV03,1,2,ED,Bushnell,_
03/04/2015,AFV03,1,2,ED,Bushnell,_
04/04/2015,AFV03,1,2,ED,Bushnell,_
05/04/2015,AFV03,1,2,ED,Bushnell,_
06/04/2015,AFV03,1,2,ED,Bushnell,_
07/04/2015,AFV03,1,2,ED,Bushnell,_
08/04/2015,AFV03,1,2,ED,Bushnell,_
