indiv,station,trap.model,date.capture,date.handling,date.release,sex.female,previous.marks,sedated,veterinarian,new.marks,freeze.secs.right,freeze.secs.left,weight.kg,neck.size.cm,obs
bella,Arm05,PNT,22/07/2013,22/07/2013,22/07/2013,TRUE,"Yellow collar; transmitter (150,241);Tag 0038 (left ears)",TRUE,Lúcio,Yellow collar (no VHS transmitter); yellow/yellow ear tag (Right: 220 / Left: 370); fur marking.,-,-,2.8,-,Sedative replicated. Prominent breasts. Previous marks removed.
primo,Arm02,PNT,23/07/2013,23/07/2013,23/07/2013,FALSE,,TRUE,Lúcio,Black/white ear tags (right.small: 125 / right.big: 204 //left.small: 124 / left.big: 269); fur marking.,-,-,1.28,-,Very young individual. It did not receive collars. Fur marking not good.
chico,Arm02,PNT,24/07/2013,24/07/2013,24/07/2013,FALSE,,TRUE,Lúcio,Silver/purple ear tags (right.small: 106 / right.big: 235 // left.small: 105 / left.big: 234); fur marking.,-,-,1.14,-,Very young individual. It did not receive collars. Sedative replicated.
bella,Arm16,Tomahawk,23/07/2013,-,23/07/2013,TRUE,,FALSE,-,-,-,-,-,-,Recapture.
bella,Arm16,Tomahawk,24/07/2013,-,24/07/2013,TRUE,,FALSE,-,-,-,-,-,-,She was walking around the live traps after release.
anathema,Arm15,Tomahawk,25/07/2013,25/07/2013,25/07/2013,TRUE,,TRUE,Lúcio,"White collar (150,361); with/pink ear tags (right.small: 107 / right.big: 224  // left.small: 954 / left.big: 223); fur marking.",-,-,2.6,-,Animal quiet while handling before sedation. It was hard to conduce her to the back of live trap. Hind paws with old injures.
bella,Arm16,Tomahawk,25/07/2013,-,25/07/2013,TRUE,,FALSE,-,-,-,-,-,-,She was walking around the live traps after release.
negra,Arm01,Tomahawk,25/07/2013,-,25/07/2013,TRUE,Collars and ear tags with no colour.,FALSE,-,-,-,-,-,-,She was not handled because of logistic problems and lack of communication.
primo,Arm02,PNT,26/07/2013,-,26/07/2013,FALSE,,FALSE,-,-,-,-,-,-,Recapture.
neguinha,Arm19,PNT,6/11/2013,6/11/2013,6/11/2013,TRUE,,TRUE ,Lúcio,Black/pink ear tags (right.small: 148 / right.big: 231 // left.small: 149 / left.big: 236); fur bleaching.,-,-,1.5,-,_
