especies,station,date,time_start,time_end,indiv,left.ear,right.ear,collar,radio.transmitter,marked.fur,record.format,sides.used,obs,identifier,cam.model,age
Dasyprocta.leporina,AFV08,31/03/2015,09:58:00,09:58:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,31/03/2015,10:49:00,10:49:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,01/04/2015,17:25:00,17:25:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,02/04/2015,06:55:00,06:56:00,unmark,absent,absent,absent,absent,absent,photo,2,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,02/04/2015,11:59:00,11:59:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,03/04/2015,08:56:00,08:56:00,na,n_detec,n_detec,absent,absent,absent,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,03/04/2015,11:07:00,11:07:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,right,_,anna,bushnell,n_detec
Dasyprocta.leporina,AFV08,03/04/2015,17:19:00,17:19:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,left,_,anna,bushnell,n_detec
Dasyprocta.leporina,AFV08,04/04/2015,14:23:00,14:23:00,unmark,absent,absent,absent,absent,absent,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,05/04/2015,14:45:00,14:45:00,na,n_detec,n_detec,n_detec,n_detec,absent,photo,left,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,06/04/2015,17:28:00,17:32:00,unmark,absent,absent,absent,absent,absent,photo,2,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,06/04/2015,17:35:00,17:37:00,unmark,absent,absent,absent,absent,absent,photo,2,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,06/04/2015,17:41:00,17:43:00,unmark,absent,absent,absent,absent,absent,photo,2,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,07/04/2015,15:28:00,15:29:00,unmark,absent,absent,absent,absent,absent,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,08/04/2015,12:15:00,12:15:00,unmark,absent,absent,absent,absent,absent,photo,right,_,anna,bushnell,adult
Dasyprocta.leporina,AFV08,09/04/2015,15:46:00,15:47:00,unmark,absent,absent,absent,absent,absent,photo,left,_,anna,bushnell,adult
Dasyprocta.leporina,AFV09,31/03/2015,15:17:00,15:17:00,luna,n_detec,n_detec,absent,absent,present,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,31/03/2015,16:33:00,16:36:00,luna,n_detec,n_detec,absent,absent,present,photo,2,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,02/04/2015,06:23:00,06:23:00,luna,n_detec,n_detec,absent,absent,present,photo,right,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,02/04/2015,09:54:00,09:54:00,mark.n.id,present,n_detec,absent,absent,ambiguous,photo,left,probably.luna,caio,bushnell,adult
Dasyprocta.leporina,AFV09,02/04/2015,10:33:00,10:33:00,luna,n_detec,mark,absent,absent,present,photo,right,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,02/04/2015,13:24:00,13:24:00,unmark,absent,n_detec,absent,absent,absent,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,02/04/2015,13:27:00,13:27:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,right,just.a.limb,caio,bushnell,adult
Dasyprocta.leporina,AFV09,02/04/2015,17:19:00,17:19:00,luna,n_detec,n_detec,absent,absent,present,photo,right,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,03/04/2015,07:33:00,07:33:00,luna,n_detec,n_detec,absent,absent,present,photo,right,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,04/04/2015,05:50:00,05:50:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,04/04/2015,05:53:00,05:53:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,right,just.a.limb,caio,bushnell,adult
Dasyprocta.leporina,AFV09,05/04/2015,11:08:00,11:09:00,luna,n_detec,n_detec,absent,absent,present,photo,right,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,06/04/2015,22:53:00,22:53:00,na,n_detec,n_detec,n_detec,n_detec,n_detec,photo,0,back,caio,bushnell,adult
Dasyprocta.leporina,AFV09,06/04/2015,22:59:00,22:59:00,na,n_detec,n_detec,absent,absent,n_detec,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,06/04/2015,23:02:00,23:04:00,luna,n_detec,n_detec,absent,absent,present,photo,left,erected.fur,caio,bushnell,adult
Dasyprocta.leporina,AFV09,06/04/2015,23:07:00,23:15:00,luna,n_detec,n_detec,absent,absent,present,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,07/04/2015,06:09:00,06:09:00,luna,n_detec,n_detec,absent,absent,present,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,07/04/2015,06:17:00,06:20:00,luna,n_detec,n_detec,absent,absent,present,photo,2,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,07/04/2015,17:16:00,17:16:00,luna,n_detec,n_detec,absent,absent,present,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,07/04/2015,18:11:00,18:11:00,na,n_detec,n_detec,absent,absent,n_detec,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,08/04/2015,10:58:00,10:59:00,unmark,absent,absent,absent,absent,absent,photo,2,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,08/04/2015,14:33:00,14:34:00,luna,n_detec,n_detec,absent,absent,present,photo,left,_,caio,bushnell,adult
Dasyprocta.leporina,AFV09,10/04/2015,17:13:00,17:15:00,luna,n_detec,n_detec,absent,absent,present,photo,2,_,caio,bushnell,adult
